Name,Serving size,Serving unit,Serving weight (g),Calories,Protein,Fats,Saturated fats,Monounsaturated fats,Polyunsaturated fats,Trans fats,Carbs,Total sugars,Added sugars,Fiber,Sodium,Potassium,Cholesterol
"Hummus, commercial",2,tablespoon,33.9,229,7.35,17.1,2.22,6.37,7.48,0.018,14.9,0,0,5.4,438,289,0
"Tomatoes, grape, raw",5,tomatoes,49.7,27,0.83,0.63,0,0,0,0,5.51,0,0,2.1,6,260,0
"Beans, snap, green, canned, regular pack, drained solids",1,cup,129,21,1.04,0.39,0,0,0,0,4.11,0,0,0,282,97,0
"Frankfurter, beef, unheated",1,piece,48.6,314,11.7,28,11.4,12.1,0.954,1.59,2.89,0,0,0,872,343,0
"Nuts, almonds, dry roasted, with salt added",1,cup,135,620,20.4,57.8,4.56,34.2,14.5,0.032,16.2,0,0,11,256,684,0
"Kale, raw",1,cup,20.6,35,2.92,1.49,0,0,0,0,4.42,0,0,4.1,53,348,0
"Egg, whole, raw, frozen, pasteurized",1,oz,28.4,150,12.3,10.3,0,0,0,0,0.91,0,0,0,121,117,420
"Egg, white, raw, frozen, pasteurized",1,oz,28.4,48,10.1,0.16,0,0,0,0,0.74,0,0,0,144,130,3
"Egg, white, dried",1,tablespoon,7,376,79.9,0.65,0,0,0,0,6.02,0,0,0,1250,959,17
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1,piece,20.2,288,4.52,14.4,2.15,2.87,7.58,0.041,36.3,0,0,2.4,374,135,0
"Pickles, cucumber, dill or kosher dill",1,spear,40.4,12,0.48,0.43,0,0,0,0,1.99,0,0,1,808,112,0
"Cheese, parmesan, grated",1,tablespoon,7.6,421,29.6,28,15.5,6.4,1.2,0.896,12.4,0,0,0,1750,184,87
"Cheese, pasteurized process, American, vitamin D fortified",1,slice,20.6,366,18,30.6,18.1,7.3,1.09,1.15,5.27,0,0,0,1660,149,98
"Grapefruit juice, white, canned or bottled, unsweetened",1,cup,257,37,0.55,0.7,0,0,0,0,7.59,0,0,0.2,1,141,0
"Peaches, yellow, raw",1,fruit,147,42,0.91,0.27,0,0,0,0,10.1,0,0,1.5,13,122,0
"Seeds, sunflower seed kernels, dry roasted, with salt added",1,cup,127,612,21,56.1,5.36,33.4,13,0.297,17.1,0,0,10.3,532,689,0
"Bread, white, commercially prepared",1,slice,27.3,270,9.43,3.59,0.821,0.717,1.87,0.035,49.2,0,0,2.3,477,117,0
