id,barcode,name
344,0011210007703,"Tabasco® brand chipotle pepper sauce, Mcilhenny Co.,Tabasco"
345,0013000001243,"Tomato Ketchup, HEINZ"
346,0041224722002,"Roland Ramen with Chicken, Roland"
347,0681170300208,"Brad's Organic Crunchy Peanut Butter, Brad's Organic"
348,0722776020012,"Splenda Original, Splenda"
349,18179866,empanadas che tapa
350,3017620429484,"Nutella, Ferrero, Nutella"
351,3560070387274,"Salsa de soja, Carrefour"
352,4002631022679,"Cerveza, St. Wendeler"
353,4600682401476,"Baltika, baltika"
354,5000267023601,"Black Label, Johnnie Walker"
355,5010509060028,"Old Pulteney Single Malt Scotch Whisky, Old Pulteney"
356,75032715,"Corona Extra, Corona"
357,7622300829643,"Galletas Lincoln, TERRABUSI"
358,7622300833909,"galletitas pepito, "
359,7790040111004,"chocolinas, Bagley"
360,7790040444102,"Milk Caramel Spread Filled Sandwich Cookies With Chocolate Flavored Coating, Bagley"
361,7790040704909,"Serranas Sandwich, Arcor,Serranas"
362,7790040711105,"Diversión, Arcor"
363,7790040929906,"Chocolinas Original, Bagley,Chocolinas"
364,7790040930407,"Amor, Bagley"
365,7790040931305,"Sonrisas, Bagley"
366,7790045000778,"Copos integrales con pasas de uva, Granix"
367,7790045001188,"Frutigran Avena y Pasas, Granix,Frutigran"
368,7790045001607,"Copos de maíz azucarados Skarchitos, Granix"
369,7790070410320,"Bread Crumb, Lucchetti"
370,7790070410634,"Gelatina sabor frutilla, Exquisita"
371,7790070411549,"Crumbled Bread Coating, Lucchetti"
372,7790070507105,"Yerba mate elaborada con palo, Cruz de Malta"
373,7790070936479,"Café, Arlistan"
374,7790080026733,"Tholem Tentaciones Light Clásico, Tholem"
375,7790080031850,"Dulce de Leche de Campo, San Cor"
376,7790080031867,"Dulce de Leche, SanCor"
377,7790080037913,", SanCor"
378,7790080065107,"Yogs Frutilla, Yogs,SanCor"
379,7790080065145,"Yogs Firme Natural, Yogs,SanCor"
380,7790127780987,"Chimichurri, Vanoli"
381,7790150570258,"Provenzal, Alicante,La Virginia"
382,7790150830857,"Chocolino, La Virginia"
383,7790202000221,"Caballa al natural, Pennisi"
384,7790220000531,"Fronterita azucar blanco refinado, Fronterita"
385,7790244000241,"For Export Dulce De Leche (lata 1000 Grs), San Ignacio"
386,7790244000401,"Doce de Leite, San Ignacio"
387,7790244001576,"Confiture de lait, fr:Confiture de lait"
388,7790272001005,"Aceite de girasol, Natura"
389,7790272001029,"Aceite puro de girasol, AGD, Natura"
390,7790315000422,"Agua mineral 2 lt, Villavicencio"
391,7790315058201,"Villavicencio Aventura, villavicencio"
392,7790326003078,Yerba maté
393,7790360966797,"Burger doble, Swift"
394,7790380015024,"Barra de granola, Georgalos,Vita Cereal"
395,7790380015031,"Granola Con Semillas, Flow Cereal"
396,7790387001693,"Green Tea, Taragui"
397,7790387014327,"Original, Unión"
398,7790387015515,"Yerba Mate La Merced Con Palo De Monte X 500 GR., La Merced"
399,7790387015522,"La Merced Barbacua Yerba Mate, la merced"
400,7790387100310,"YERBA MATE, Taragui"
401,7790387110234,"Taragui Yerba Mate X500GR, Taragüi"
402,7790387113235,"Yerba Mate C / Palo / Naranja / Mandarina Y Pomelo 500GR Taragui Paq, Taragüi"
403,7790387113242,"Yerba Mate Maracuya, Taragui"
404,7790387120356,"La merced, yerba mate con palo tea, La Merced"
405,7790387712186,"Yerba Mate Naranja, Taragui"
406,7790387712445,"Taragui, daydreams herbal teas, Taragui"
407,7790407031013,"Chocolate Semiamargo, Aguila"
408,7790411000012,"Yerba mate edicion especial, Rosamonte"
409,7790411000029,Rosamonte- yerba mate especial
410,7790411000043,", "
411,7790411000050,"Rosamonte Yerba Mate, 500g Bag, Rosamonte"
412,7790411001507,Yerba Rosamonte Plus x 500 G
413,7790411001545,Yerba Mate
414,7790412000455,"Mini chía, Leiva"
415,7790480000166,Yerba Mate
416,7790480000371,La Tranquera Yerba Mate
417,7790503000326,"Tostaditas de arroz sin sal agregada, Dos Hermanos"
418,7790538009516,"Arrocitas 3 Cereales, Arrocitas"
419,7790577000048,"San Felipe, Bodega La Rural"
420,7790580279158,"Wafer bon o bon Leche, Arcor, bon o bon"
421,7790580503109,"Arcor Dulce De Batata, Arcor"
422,7790580504007,"Arcor, quicnce jam dulce de membrillo, Arcor"
423,7790580511708,"Mermelada de fresa light, Arcor"
424,7790580747008,"Assorted Bonbons With Chocolate, Arcor"
425,7790616080116,"Dulce de leche, Valcalin"
426,7790710000102,"Hierbas Serranas, CBSé"
427,7790742104205,"Dulce de Leche Estilo Colonial, La Serenísima"
428,7790742140609,"Dulce de Leche Estilo Colonial, La Serenísima"
429,7790742144607,"Dulce De Leche, La Serenisima"
430,7790742162106,"Leche Descremada 1LT La Serenisima Tetra, La Serenisima"
431,7790762008453,Santa Ana Reserve Malbec 2014
432,7790762050117,"La Mascota, "
433,7790787153664,"Dulce de leche Ilolay 299471, ilolay"
434,7790895000218,"Coca Cola, Coca-Cola"
