id,barcode,name
1,,Hummus (store-bought)
2,,Grape tomatoes
3,,"Green beans, canned, drained"
4,,"Beef hot dog, unheated"
5,,Roasted salted almonds
6,,Kale
7,,"Whole egg (pasteurized, frozen)"
8,,"Egg whites (pasteurized, frozen)"
9,,Dried egg whites
10,,"Onion rings, breaded, frozen, baked"
11,,Dill pickles
12,,Grated parmesan cheese
13,,"American cheese (processed, vitamin D)"
14,,"White grapefruit juice, unsweetened"
15,,Yellow peaches
16,,"Sunflower seeds, roasted, salted"
17,,"White bread, store-bought"
18,,"Cooked kale, frozen, boiled"
19,,Yellow mustard
20,,Green kiwi
21,,Nectarines
22,,Cheddar cheese
23,,"Cottage cheese, low-fat"
24,,Part-skim mozzarella
25,,Dried whole egg
26,,"Egg yolk (pasteurized, frozen)"
27,,Dried egg yolk
28,,"Greek yogurt, plain, nonfat"
29,,"Greek yogurt, strawberry, nonfat"
30,,Coconut oil
31,,Braised chicken drumstick (meat only)
32,,"Braised chicken breast, skinless, boneless"
33,,Ready-to-serve spaghetti sauce
34,,"Pre-sliced ham, 96% fat-free"
35,,Green olives stuffed with pimiento
36,,"Oatmeal raisin cookies, soft"
37,,"Canned diced tomatoes, red"
38,,Haddock
39,,Pollock
40,,"Canned light tuna in water, drained"
41,,"Fried rice (Chinese restaurant), no meat"
42,,Pork tamale (Latino restaurant)
43,,Bean pupusas (Latino restaurant)
44,,"Whole wheat bread, store-bought"
45,,"Beef tenderloin roast, lean only, cooked"
46,,"Top loin steak, beef, lean only"
47,,"Beef eye of round roast, lean only"
48,,"Beef top round roast, lean only"
49,,"Porterhouse steak, beef, lean only"
50,,"T-bone steak, beef, cooked, lean only"
51,,Frozen unprepared carrots
52,,Dry white cheese (queso seco)
53,,Whole milk ricotta cheese
54,,Swiss cheese
55,,Dried figs
56,,Romaine lettuce
57,,Cantaloupe
58,,Navel oranges
59,,"Low-fat milk, 1%, fortified"
60,,Bartlett pears
61,,Sweet and sour pork (Chinese restaurant)
62,,"Table salt, iodized"
63,,"Nonfat milk, fortified"
64,,"Salsa, ready-to-serve"
65,,"Reduced-fat milk, 2%, fortified"
66,,"Beef breakfast sausage, pre-cooked"
67,,"Italian sausage, pork, mild, pan-fried"
68,,"Pork chorizo, cooked, pan-fried"
69,,"Whole milk, 3.25%, fortified"
70,,"Turkey breakfast links, mild"
71,,Granulated sugar
72,,"Ground turkey, 93% lean, pan-broiled"
73,,"Ham, sliced, restaurant"
74,,"American cheese, restaurant"
75,,"Dry beans, medium red"
76,,"Dry beans, red"
77,,"Dry beans, Flor de Mayo"
78,,"Dry beans, brown"
79,,"Dry beans, tan"
80,,"Dry beans, light tan"
81,,"Dry beans, Carioca"
82,,"Dry beans, cranberry"
83,,"Dry beans, light red kidney"
84,,"Dry beans, pink"
85,,"Dry beans, dark red kidney"
86,,"Dry beans, navy"
87,,"Dry beans, small white"
88,,"Dry beans, small red"
89,,"Dry beans, black"
90,,"Dry beans, pinto"
91,,"Dry beans, great northern"
92,,Broccoli
93,,"Ketchup, restaurant"
94,,"Egg whites, Grade A, large"
95,,"Egg yolks, Grade A, large"
96,,Canola oil
97,,Corn oil
98,,Soybean oil
99,,Extra virgin olive oil
100,,"Whole eggs, Grade A, large"
101,,"Pork bacon, cooked, restaurant"
102,,"Unsalted butter, stick"
103,,"All-purpose wheat flour, enriched, bleached"
104,,"All-purpose wheat flour, enriched, unbleached"
105,,"All-purpose wheat flour, unenriched, unbleached"
106,,"Whole wheat flour, unenriched"
107,,"White bread flour, enriched, unbleached"
108,,"White rice flour, unenriched"
109,,"Corn flour, yellow, enriched"
110,,"Salted butter, stick"
111,,Red onions
112,,Yellow onions
113,,Garlic
