food_id ,calories,protein,fat,saturated_fat,monounsaturated_fat,polyunsaturated_fat,trans_fat,carbohydrates,total_sugars,added_sugars,fiber,sodium,potassium,cholesterol
344,38,0,0,0,0,0,0,10,10,10,0,2.4,0,0
345,117,0,0,0,0,0,0,33.3,0,0,0,0.942,0,0
346,464,0,21.4,8.93,0,0,0,60.7,3.57,0,3.57,1.71,0,0
347,594,0,50,7.81,0,0,0,21.9,6.25,0,9.38,0,0.625,0
348,0,0,0,0,0,0,0,1,1,0,0,0,0,0
349,539,0,30.9,10.6,0,0,0,57.5,56.3,0,0,0.0428,0,0
350,63,0,0,0,0,0,0,12,0.8,0,0.5,5.16,0,0
351,35,0,0,0,0,0,0,6,3.7,0,0,0,0,0
352,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0
353,42,0,0,0,0,0,0,4,0.2,0,0,0,0,0
354,440,0,13,5.6,0,0,0,73,22,0,1.8,0.311,0,0
355,153,0,5.7,1.5,0,0,0,22,10,0,0.9,0.047751999999999996,0,0
356,454,0,17,7.9,0,0,0,67,20,0,4.1,0.1096,0,0
357,426,0,17.02,6.38,0,0,3.19,61.7,40.43,0,1.1,0.10769599999999999,0,0.021
358,446,0,15,6.8,6,1,0.7,67,1,0,2.5,0.558,0,0.026000000000000002
359,417,0,13.3,4.17,0,0,0,66.7,28.3,28.3,2.5,0.183,0,0.0167
360,454,0,17,7.9,0,0,0,67,20,0,0,0.24,0,0
361,464,0,16,7.7,0,0,0,72,27,0,1.6,0.32,0,0
362,412,0,13,5.4,0,0,0,67,24,0,0,0.852,0,0
363,330,0,1.33,0.333,0.333,0.667,0,66.7,11,2.33,16,0.21,0,0
364,436,0,14,1.5,11,1.3,0,70,17,9.2,4.1,0.27,0,0
365,372,0,0.3,0.1,0,0,0,87,0,0,2.1,0.356,0,0
366,333,0,0,0,0,0,0,73.33,0,0,0,0.28300000000000003,0,0
367,367,0,0,0,0,0,0,61.7,61.7,0,0,1.15,0,0
368,333,0,0,0,0,0,0,73.33,0,0,0,0.28300000000000003,0,0
369,22,0,0,0,0,0,0,3.2,0,0,0,0,0,0
370,4,0,0,0,0,0,0,1.1,0,0,0,0,0,0
371,127,0,8.3,5.3,2,0.2,0,2,0,0,0,0.8,0,0.025
372,306,0,6.4,4,0,0,0,55,55,0,0,0.054,0,0
373,305,0,6.5,4,0,0,0,55,0,0,0,0.135,0,0
374,69,0,3,1.6,0,0,0.14,7.7,0,0,0,0.036576,0.09,0.0073
375,88.7,0,2.3,1.4,0,0,0,17,0,0,0,0.057912,0,0.0076
376,66.3,0,3,1.84,0,0,0.105,5.79,0,0,0,0.0758,0,0
377,0,0,0,0,0,0,0,0,0,0,0,35.6,0,0
378,390,0,2.5,1.5,0,0,0,85,0,0,0,0.075,0,0
379,218,0,14.8,4,0,0,0,0,0,0,0,0.128,0,0
380,333.33333333333,0,6.9444444444444,4.1666666666667,0,0,0,61.111111111111,61.111111111111,0,0,0.15277777777778,0,0
381,333,0,8.2,5.8,0,0,0,58,42,0,0.5,0.12,0,0
382,312,0,5,3.3,0,0,0,61.8,47.3,0,0,0.092,0,0
383,831,0,92.3,9.23,0,0,0,0,0,0,0,0,0,0
384,831,0,92.3,0,0,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0
386,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0
387,21,0,0,0,0,0,0,0,0,0,0,0.0024,0,0
388,370,0,10.9,4.35,0,0,0,69.6,21.7,21.7,2.17,0.0522,0.0891,0
389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,61,0,0,0,0,0,0,12,0,0,0,0.048,0,0
392,61,0,0,0,0,0,0,12,0,0,0,0.0488,0,0
393,61,0,0,0,0,0,0,12,0,0,0,0.0488,0,0
394,20,0,0,0,0,0,0,2,0,0,1,0.012,0.09,0
395,60,0,0,0,0,0,0,0,0,0,0,4.88,0,0
396,61,0,0,0,0,0,0,12,0,0,0,0.122,0,0
397,60,0,0,0,0,0,0,12,0,0,0,0.12,0,0
398,61,0,0,0,0,0,0,0,0,0,0,0.0488,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,469,0,24,13,8.7,0,0,60,53,0,6.6,0.022,0,0
401,21,0,0,0,0,0,0,0,0,0,0,0,0,0
402,21,0,0,0,0,0,0,0,0,0,0,0.24,0,0
403,21,0,0,0,0,0,0,4.7,0,0,0,0,0,0
404,21,0,0,0,0,0,0,4.7,0,0,0,0.24,0,0
405,21,0,0,0,0,0,0,0,0,0,0,0.0024,0,0
406,416.67,0,16.67,2,0,0,0,56.67,0,0,9,0,0,0
407,7.5,0,0,0,0,0,0,3.3,0,0,0,0,0,0
408,16,0,0,0,0,0,0,3.4,0,0,0,0.0024,0,0
409,367,0,0,0,0,0,0,84,0,0,4,0.048,0,0
410,384,0,3.2,0.6,1.2,1.4,0,76,2.5,0,6,0.537,0,0
411,546,0,33,15,0,0,0,50,49,0,0,2,0,0
412,241,0,0,0,0,0,0,60,28,0,0,0.0112,0,0
413,286,0,0,0,0,0,0,70,54.29,0,0,0,0,0
414,136,0,0,0,0,0,0,33,27,0,0,0.026000000000000002,0,0
415,559,0,35.29,11.76,0,0,5.88,47.06,41.18,0,2.9,0.11800000000000001,0,0.015
416,305,0,7,4.5,0,0,0,55,48.5,0,0,0.12,0,0.02
417,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0
418,315,0,8,4.5,0,0,0,55,50,39.5,0,0.125,0,0
419,310,0,7.5,4.5,0,0,0,55,0,0,0,0.125,0,0
420,320,0,18.5,5,0,0,0,55,30,0,0,0,0,0
421,45,0,1.5,0.9,0,0,0,4.7,2.4,0,0,0.264,0,0
422,305,0,6.5,4,0,0,0,55,55,0,0,0.04,0,0
423,30,0,0,0,0,0,0,7.5,7.5,0,0,0.0061,0,0
424,30,0,0,0,0,0,0,7.5,7.5,0,0,0.006,0,0
425,344,0,8,2,0,0,0,53,0,0,15,0.048,0,0
426,310,0,6.6,3.6,0,0,0,56,51,0,0,0.08,0,0
427,130,0,7,4.67,1.67,0,0,7.67,0,0,0,0.147,0,0.02
428,211.61999999999998,0,20.7,14,5.33,0.667,0.667,6.33,0,0,0,0.169,0,0.0567
429,106,0,3.2,2,0,0,0,14.4,7.2,0,0,0.24,0,0
430,448,0,23,23,0,0,0,57,57,0,0,0.04,0,0
431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,272,0,0,0,0,0,0,60,36,0,0,0,0,0
433,256,0,1.2,0.4,0,0,0,54.4,1.6,0,0,0,0,0.004
434,40,0,0,0,0,0,0,10.5,10.5,0,0,0.009,0,0
435,317,0,30.8,3.33,12.5,15,0,7.5,0,0,0,0.833,0,0.0333
436,375,0,13,7.1,0,0,0,31,31,0,0,0.0244,0,0
437,360,0,11.2,6,0,0,0,60,34.8,34.4,0.4,0.048,0,0.0272
438,440,0,20,9.6,0,0,0.4,64,28,0,0.4,0.176,0,0.0104
439,375,0,13,7.1,3.3,2,0,58,31,0,0.2,0.061,0,0.022
440,297,0,6,3.6,0,0,0,57.5,57.5,0,0,0.12,0,0
441,320,0,8,4,0,0,0,56.2,28,0,0.2,0.048,0,0
442,348,0,2.7,0.8,0,0,0,72,0,0,10,0.41,0,0
443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,347,0,7.9,1.5,3.6,2.7,0,56,1,0,11,0.007,0,0
445,400,0,16,2,12,2,0,57,28,0,8.3,0.263,0,0.0073
446,24,0,0,0,0,0,0,6,6,0,0,0.045,0.012,0
447,467,0,16.67,6.67,0,0,0,63.33,0,0,6.7,0.734568,0,0.017
448,300,0,0,0,0,0,0,65,5,0,5,0,0,0
449,18,0,1,0,0,0,0,0,0,0,0,6.8,0,0
450,425,0,22,12,0,0,0,60,60,0,0,3.4,0,0
451,94,0,0,0,0,0,0,19.799999237061,4.8000001907349,0,0,0.0174,0,0
452,94,0,0,0,0,0,0,19.8,4.8,0,0,0.0174,0,0
453,94,0,0,0,0,0,0,19,4,0,0,0.04,0,0
