food_id,serving_text,serving_weight,is_grams
344,1 portion (15 ml),15,False
345,12 g,12.0,True
346,28g,28,True
347,32 grams,32,True
348,1 sobre 1 g,1.0,True
349,15g,15.0,True
350,100 g,,True
351,100 g,,True
352,30 ml,30.0,False
353,355 ml,355.0,False
354,30g,30,True
355,33g,33,True
356,100 g,,True
357,47 g (1 PIECE),47,True
358,5 galletitas 28 g,28.0,True
359,3 galletitas 30 g,30.0,True
360,3.3 g,3.3,True
361,100 g,,True
362,100 g,,True
363,1 serving (30 g),30.0,True
364,2 galletas (30 g),30.0,True
365,31g,31.0,True
366,4 Tbsp (30 g),30,True
367,6 g,6,True
368,4 Tbsp (30 g),30,True
369,100 g,,True
370,"1,5 g",1.5,True
371,5 cucharadas 50 g,50.0,True
372,100 g,,True
373,1 cuchara 20 g,20,True
374,250 ml,250.0,False
375,180g,180.0,True
376,190 g,190.0,True
377,100 g,,True
378,20 g,20.0,True
379,60 g de producto escurrido (3 cucharadas de sopa),60,True
380,100 g,,True
381,100 g,,True
382,20 g,20,True
383,13 ml,13.0,False
384,1 portion (13 g),13.0,True
385,1 L,1000,False
386,1l,1000.0,False
387,100 g,,True
388,46 g,46,True
389,0.053 ONZ (1.5 g),1.5,True
390,50 g,50.0,True
391,100 g,,True
392,100 g,,True
393,100 g,,True
394,1 serving (50 g),50.0,True
395,100 g,,True
396,100 g,,True
397,1.77 ONZ (50 g),50,True
398,100 g,,True
399,0.035 ONZ (1 g),1,True
400,1 1/2 barritas (21 g),21.0,True
401,100 g,,True
402,100 g,,True
403,100 g,,True
404,100 g,,True
405,100 g,,True
406,100 g,,True
407,100 g,,True
408,100 g,,True
409,100 g,,True
410,4 unidades/bolachas 26 g,26.0,True
411,100 g,,True
412,100 g,,True
413,1 SLICE (70 g),70,True
414,100g,100,True
415,2 PIECES (34 g),34,True
416,1 tbsp (20 g),20.0,True
417,100 g,,True
418,1 cuchara 20 g,20,True
419,1 cuchara de sopa (20 g),20.0,True
420,100 g,,True
421,100 g,,True
422,100 g,,True
423,200ml,200.0,False
424,200ml,200.0,False
425,100 g,,True
426,100 g,,True
427,30g,30.0,True
428,30 g,30,True
429,100 g,,True
430,100 g,,True
431,1 BAG (3 g),3,True
432,100 g,,True
433,125 g (1 cup),125,True
434,200 ml,200,False
435,1 cuchara de sopa 12 g,12.0,True
436,100 g,,True
437,1 package (25 g),25.0,True
438,1 piece 25 g,25,True
439,1 unidad 55 g,55,True
440,1 tsp 20 g,20.0,True
441,100 g,,True
442,100 g,,True
443,1 g (1 g),1,True
444,40 g,40.0,True
445,100 g,,True
446,200 ml,200,False
447,30 g (9 PIECES),30,True
448,20 g (20 g),20,True
449,50g,50.0,True
450,100 g,,True
451,100 g,,True
452,50g,50.0,True
453,100 g,,True
454,100 g,,True
455,100 g,,True
456,100 g,,True
457,50 g,50.0,True
458,100 g,,True
459,100 g,,True
460,100 g,,True
461,100 g,,True
462,"15 ml, una cucharada sopera",15,False
463,25 g (25 g),25,True
464,25 g (25 g),25,True
465,100 g,,True
466,50 g,50.0,True
467,20g,20,True
468,20 ml,20.0,False
469,160g,160.0,True
470,20 g (1 Tbsp),20,True
471,12 g,12.0,True
472,30 g (30 g),30.0,True
473,"0,4 ml",0.4,False
