food_id,serving_text,serving_weight,is_grams
1,2 tablespoon,33.9,True
2,5 tomatoes,49.7,True
3,1 cup,129,True
4,1 piece,48.6,True
5,1 cup,135,True
6,1 cup,20.6,True
7,1 oz,28.4,True
8,1 oz,28.4,True
9,1 tablespoon,7,True
10,1 piece,20.2,True
11,1 spear,40.4,True
12,1 tablespoon,7.6,True
13,1 slice,20.6,True
14,1 cup,257,True
15,1 fruit,147,True
16,1 cup,127,True
17,1 slice,27.3,True
18,1 cup,118,True
19,1 cup,249,True
20,100 g,100,True
21,1 each,129,True
22,100 g,100,True
23,1 cup,220,True
24,1 cup,86.2,True
25,1 cup,85,True
26,1 oz,28.4,True
27,1 tablespoon,4,True
28,1 container,156,True
29,1 container,150,True
30,1 tablespoon,11.6,True
31,1 drumstick,104,True
32,1 piece,174,True
33,1 serving,135,True
34,1 slice,13.5,True
35,1 olive,3.2,True
36,1 cookie,27,True
37,1 cup,245,True
38,1 fillet,176,True
39,1 fillet,177,True
40,100 g,100,True
41,1 cup,133,True
42,1 piece,142,True
43,1 piece,126,True
44,1 slice,32.1,True
45,1 roast,462,True
46,1 steak,284,True
47,1 roast,690,True
48,1 roast,788,True
49,1 steak,525,True
50,1 steak,360,True
51,100 g,100,True
52,1 cup,97.3,True
53,0 cup,64.6,True
54,1 slice,21.9,True
55,1 each,8.4,True
56,1 bunch,581,True
57,1 wedge,69,True
58,1 cup,165,True
59,1 cup,246,True
60,1 cup,140,True
61,1 order,611,True
62,1 teaspoon,6.1,True
63,1 cup,246,True
64,2 tablespoon,35.7,True
65,1 cup,245,True
66,1 link,18.6,True
67,1 link,86.6,True
68,1 link,186,True
69,1 cup,249,True
70,1 package,450,True
71,1 teaspoon,4,True
72,1 paired cooked w,155,True
73,1 slice,16.2,True
74,1 slice,16,True
75,100 g,100,True
76,100 g,100,True
77,100 g,100,True
78,100 g,100,True
79,100 g,100,True
80,100 g,100,True
81,100 g,100,True
82,100 g,100,True
83,100 g,100,True
84,100 g,100,True
85,100 g,100,True
86,100 g,100,True
87,100 g,100,True
88,100 g,100,True
89,100 g,100,True
90,100 g,100,True
91,100 g,100,True
92,1 cup,76,True
93,100 g,100,True
94,1 egg,34,True
95,1 egg,17,True
96,100 milliliter,90.9,True
97,100 milliliter,91.3,True
98,100 milliliter,91.3,True
99,100 milliliter,90.7,True
100,1 egg,50.3,True
101,1 slice,6.3,True
102,100 g,100,True
103,100 g,100,True
104,100 g,100,True
105,100 g,100,True
106,100 g,100,True
107,100 g,100,True
108,100 g,100,True
109,100 g,100,True
110,100 g,100,True
111,1 Onion,197,True
112,1 Onion,143,True
113,100 g,100,True
114,100 g,100,True
115,100 g,100,True
116,100 g,100,True
117,100 g,100,True
118,100 g,100,True
119,100 g,100,True
120,1 Banana,110,True
121,1 Banana,115,True
122,100 g,100,True
123,100 g,100,True
124,100 g,100,True
125,100 g,100,True
126,100 g,100,True
127,100 g,100,True
128,100 g,100,True
129,100 g,100,True
130,100 g,100,True
131,100 g,100,True
132,100 g,100,True
133,100 g,100,True
134,100 g,100,True
135,100 g,100,True
136,100 g,100,True
137,100 g,100,True
138,100 g,100,True
139,100 g,100,True
140,100 g,100,True
141,100 g,100,True
142,100 g,100,True
143,100 g,100,True
144,100 g,100,True
145,100 g,100,True
146,100 g,100,True
147,100 g,100,True
148,100 g,100,True
149,100 g,100,True
150,100 g,100,True
151,100 g,100,True
152,100 g,100,True
153,100 g,100,True
154,100 g,100,True
155,100 g,100,True
156,100 g,100,True
157,100 g,100,True
158,100 g,100,True
159,100 g,100,True
160,100 g,100,True
161,100 g,100,True
162,100 g,100,True
163,100 g,100,True
164,100 g,100,True
